Order Name,Created at,Source Name,Total Discounts,Order Status,Total Product,Store,Carrier Status Code,Cancel Reason,Sales Program,Giới tính,Funnel,Category,Sub-category,Price,Subtotal Price
103378,7/28/2023,Trực tiếp - Cửa hàng,0,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Quần,Quần jeans,370000,370000
103379,7/28/2023,Instagram,0,cancel,1,Kho Online,cancel,Đơn trùng,,Chị,,Daily use,Sơ mi dài,300000,300000
103384,7/28/2023,Instagram,0,cancel,1,37 Nguyễn Văn Huyên,cancel,Khách suy nghĩ thêm,Đặt trước,Chị,,Daily use,Sơ mi dài,300000,300000
103392,7/28/2023,Facebook,0,complete,1,Kho Online,complete,,Đặt trước,Chị,,Quần,Quần jeans,370000,370000
103403,7/28/2023,Facebook,0,cancel,1,Kho Online,cancel,Khách không đến,Đặt trước,Chị,,Daily use,Sơ mi dài,300000,300000
103427,7/28/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Áo (mùa hè),Áo phông,300000,300000
103430,7/28/2023,Trực tiếp - Cửa hàng,0,complete,1,89 Láng Hạ,complete,,Mua tại quầy,Chị,,Váy,Váy liền,430000,430000
103434,7/28/2023,Facebook,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Daily use,Sơ mi dài,300000,300000
103443,7/28/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Váy,Váy liền,430000,430000
103449,7/28/2023,Trực tiếp - Cửa hàng,0,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Daily use,Sơ mi dài,300000,300000
103452,7/28/2023,Instagram,0,cancel,1,Kho Online,cancel,Đơn trùng,,Chị,,Váy,Chân váy,310000,310000
103474,7/28/2023,Trực tiếp - Cửa hàng,0,complete,1,27 Khâm Thiên,complete,,Mua tại quầy,Chị,,Váy,Váy liền,430000,430000
103482,7/28/2023,Facebook,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Váy,Váy liền,430000,430000
103502,7/28/2023,Hotline,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Váy,Váy liền,430000,430000
103521,7/28/2023,Trực tiếp - Cửa hàng,0,complete,1,89 Láng Hạ,complete,,Mua tại quầy,Chị,,Váy,Chân váy,310000,310000
103525,7/28/2023,Trực tiếp - Cửa hàng,0,complete,1,89 Láng Hạ,complete,,Mua tại quầy,Chị,,Váy,Váy liền,430000,430000
103539,7/28/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Daily use,Sơ mi dài,300000,300000
103631,7/28/2023,Trực tiếp - Cửa hàng,0,complete,1,27 Khâm Thiên,complete,,Mua tại quầy,Chị,,Daily use,Áo croptop sơ mi,280000,280000
103632,7/28/2023,Trực tiếp - Cửa hàng,80000,complete,1,27 Khâm Thiên,complete,,Mua tại quầy,Chị,,Váy,Chân váy,310000,310000
103640,7/28/2023,Hotline,0,cancel,1,Kho Online,cancel,Khách không đến,Đặt trước,Chị,,Daily use,Sơ mi dài,300000,300000
103692,7/28/2023,Facebook,42000,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Daily use,Sơ mi dài,300000,300000
103700,7/28/2023,Hotline,0,complete,1,37 Nguyễn Văn Huyên,complete,,Tự vận chuyển,Chị,,Daily use,Sơ mi dài,300000,300000
103730,7/28/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Váy,Chân váy,310000,310000
103742,7/28/2023,Zalo,0,complete,1,37 Nguyễn Văn Huyên,complete,,Tự vận chuyển,Chị,,Daily use,Sơ mi dài,300000,300000
103751,7/28/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Áo (mùa hè),Áo phông,300000,300000
103753,7/28/2023,Instagram,0,complete,1,89 Láng Hạ,complete,,Hãng vận chuyển,Chị,,Váy,Váy liền,430000,430000
103772,7/28/2023,Zalo,0,packing,1,KHO ĐƠN HÀNG,packing,,Hãng vận chuyển,Chị,,Daily use,Sơ mi dài,300000,300000
103788,7/28/2023,Trực tiếp - Cửa hàng,0,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Quần,Quần jeans,370000,370000
103801,7/28/2023,Facebook,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Daily use,Áo croptop sơ mi,280000,280000
